time,travelReason,trips
5:30 AM,returnHomeFromWork,4170.484959
5:30 AM,travelToClass,1206.535393
5:30 AM,returnHomeFromNonworkLoc,1559.089526
5:30 AM,otherTrip,59670.22542
5:35 AM,travelToWork,143779.6703
5:35 AM,returnHomeFromWork,4290.032421
5:35 AM,travelToClass,988.4959938
5:35 AM,returnHomeFromNonworkLoc,1748.770899
5:35 AM,otherTrip,66539.16086
5:40 AM,travelToWork,158275.6177
5:40 AM,returnHomeFromWork,4347.311828
5:40 AM,travelToClass,1169.094422
5:40 AM,returnHomeFromNonworkLoc,2326.771062
5:40 AM,otherTrip,74603.08065
5:45 AM,travelToWork,159286.9101
5:45 AM,returnHomeFromWork,4257.910854
5:45 AM,travelToClass,1290.904563
5:45 AM,returnHomeFromNonworkLoc,2642.419684
5:45 AM,otherTrip,77313.74213
5:50 AM,travelToWork,179814.2662
5:50 AM,returnHomeFromWork,6783.321244
5:50 AM,travelToClass,2624.117943
5:50 AM,returnHomeFromNonworkLoc,3370.124894
5:50 AM,otherTrip,88192.3784
5:55 AM,travelToWork,192965.5924
5:55 AM,returnHomeFromWork,8766.436084
5:55 AM,travelToClass,4019.584784
5:55 AM,returnHomeFromNonworkLoc,3842.32205
5:55 AM,otherTrip,96665.66152
6:00 AM,travelToWork,205471.2478
6:00 AM,returnHomeFromWork,10973.70991
6:00 AM,travelToClass,5631.574838
6:00 AM,returnHomeFromNonworkLoc,4275.791872
6:00 AM,otherTrip,102329.5157
6:05 AM,travelToWork,224109.346
6:05 AM,returnHomeFromWork,13060.06398
6:05 AM,travelToClass,7789.54342
6:05 AM,returnHomeFromNonworkLoc,4595.321394
6:05 AM,otherTrip,111187.3131
6:10 AM,travelToWork,244498.5574
6:10 AM,returnHomeFromWork,15046.62801
6:10 AM,travelToClass,10702.57224
6:10 AM,returnHomeFromNonworkLoc,5146.53336
6:10 AM,otherTrip,121434.7736
6:15 AM,travelToWork,246083.3727
6:15 AM,returnHomeFromWork,14461.14237
6:15 AM,travelToClass,13130.58304
6:15 AM,returnHomeFromNonworkLoc,5069.589158
6:15 AM,otherTrip,124671.607
6:20 AM,travelToWork,270620.9551
6:20 AM,returnHomeFromWork,15718.67203
6:20 AM,travelToClass,20395.6003
6:20 AM,returnHomeFromNonworkLoc,6852.129233
6:20 AM,otherTrip,140826.8591
6:25 AM,travelToWork,288826.4857
6:25 AM,returnHomeFromWork,16414.07954
6:25 AM,travelToClass,28522.78883
6:25 AM,returnHomeFromNonworkLoc,8588.036707
6:25 AM,otherTrip,155111.3861
6:30 AM,travelToWork,304280.2328
6:30 AM,returnHomeFromWork,17292.67487
6:30 AM,travelToClass,39921.28824
6:30 AM,returnHomeFromNonworkLoc,10186.38083
6:30 AM,otherTrip,167426.8073
6:35 AM,travelToWork,327445.551
6:35 AM,returnHomeFromWork,18217.97741
6:35 AM,travelToClass,53977.06814
